,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
ABCC3,2,3,8,9,3,5,0,218,95,275,233,444
ABCE1,1694,1161,3824,3086,2663,3039,1766,1395,1498,708,638,933
ABHD15,397,607,259,433,475,613,694,628,755,765,780,387
ABHD17B,1012,1456,1199,1145,1810,511,605,449,970,549,378,434
ABHD6,36,76,142,46,62,94,87,146,172,129,137,94
ACER3,136,196,312,217,317,367,153,1735,1441,763,499,513
ACOX3,183,192,140,291,142,432,331,336,241,329,302,252
ACSL3,392,387,541,436,310,479,394,1259,830,497,575,777
ACSM3,292,685,960,307,1039,501,239,127,363,44,189,34
ACSS1,1386,1940,1429,1460,1551,1967,1781,751,918,1012,870,378
ACTB,54419,74890,46259,71687,46810,80095,62916,215833,122146,156877,146931,228755
ACTR3B,106,92,164,86,48,138,124,24,18,54,48,43
ACVRL1,1,1,3,2,0,1,0,101,47,159,24,95
ADAM22,61,52,103,14,52,58,45,2,24,2,24,7
ADAM9,34,53,201,262,73,92,76,2435,1682,1014,619,1401
ADAP1,130,257,30,41,87,161,178,465,322,664,663,688
ADAT2,159,63,171,36,77,55,80,16,30,21,37,19
ADCY6,549,1004,638,478,677,479,1244,19,27,126,64,58
ADCY7,1056,2638,1518,156,1692,1739,2886,4157,3483,3048,2861,4109
ADM,8,11,33,193,8,65,23,152,172,449,762,953
AGFG1,562,561,1403,1562,1015,877,617,5567,4284,2488,1847,1612
AGK,487,504,603,581,576,604,459,372,366,304,361,246
AGPAT3,330,618,500,657,348,277,145,1722,1679,1360,1560,1769
AGTRAP,396,374,82,397,225,348,279,2850,2036,3507,3922,3295
AHCYL1,1149,1276,2348,1490,1685,2199,1605,2491,3011,2346,1776,2214
AHNAK,6867,32480,1987,2139,8251,9045,12443,34024,27911,49934,43470,36556
AIM1,412,709,131,655,490,887,867,3126,2134,2097,2643,1944
AJUBA,14,15,14,5,25,1,9,3,5,1,2,2
ALDH3B1,1060,1607,232,1224,954,1378,1017,4278,3440,4634,4154,4240
ALDH4A1,59,63,89,40,45,133,103,211,104,177,231,143
ALDH9A1,707,510,847,1041,591,1085,868,2148,1834,1251,1785,1317
ALOX5,147,438,136,244,278,4618,2105,5037,1661,4744,1367,5255
ALOX5AP,65,269,262,122,221,449,265,4665,2496,7264,3066,439
ANAPC1,684,491,734,711,574,961,711,255,291,269,262,159
ANGPT1,5111,4276,7517,3155,7640,5351,1892,114,797,68,54,86
ANKRD16,128,118,64,84,65,63,160,16,20,60,47,61
ANXA11,2951,4189,3084,3477,2532,3653,3516,4862,4061,6180,4373,6587
ANXA2,1410,360,1565,6492,485,2190,2318,33588,20266,27264,31167,18620
ANXA5,73,282,13,5797,244,607,86,17174,8294,13344,8850,2514
AOAH,205,267,517,279,310,106,30,6352,3787,5473,3797,16443
AP2A1,765,1266,576,837,647,1303,1506,2094,1096,2412,2561,3980
AP2B1,3110,5526,6260,4710,5202,7608,7126,3246,3062,3473,3055,3112
APCDD1,0,4,5,0,4,25,20,106,124,56,194,13
APLP2,2457,10023,1851,11660,7567,9780,7465,33442,38651,33011,30119,32872
APOBR,375,2565,445,246,966,1003,1274,2076,1564,5258,4452,2111
APOL2,340,92,218,204,121,301,468,255,359,267,308,436
APOL6,493,359,222,263,183,268,302,734,838,478,512,1415
ARAF,988,1488,694,771,788,1211,1349,1362,907,1895,1700,2152
ARAP1,1737,2420,849,490,930,1579,2415,3448,2812,4952,4801,5754
ARAP3,4,1,22,16,0,0,1,203,145,299,260,203
ARF5,831,1814,816,1010,1312,1329,1250,2208,1317,2329,1803,2234
ARHGAP23,299,308,90,229,110,46,272,45,47,92,113,70
ARHGAP24,2,2,0,0,1,6,0,458,81,172,139,304
ARHGAP30,1676,3716,1409,1461,2306,2028,3476,4486,4260,5575,5995,5085
ARHGAP31,13,5,32,50,1,20,51,934,71,984,1107,1484
ARHGEF10L,1,3,0,14,1,11,1,739,384,554,819,913
ARHGEF11,5,433,122,109,129,84,204,735,639,887,817,174
ARHGEF3,896,930,693,929,923,944,850,3871,2490,1404,1725,1850
ARHGEF9,239,303,298,242,308,213,252,147,133,82,164,197
ARL4A,1239,1215,1111,1256,2420,608,370,4664,3692,1735,2844,3846
ARMCX1,305,268,295,443,376,126,197,247,87,52,94,98
ARNT,817,1211,738,837,1017,1048,1037,1402,1386,1443,1957,1795
ARNTL,17,32,46,28,32,15,39,316,253,156,281,1
ARPC1B,107,219,272,351,374,393,231,899,637,349,382,461
ARPC2,5237,9946,8707,7064,9733,11251,7298,18049,16522,12903,14594,20158
ARPC3,3672,5813,7716,6044,7101,6683,4335,14212,15540,11074,8117,16670
ARPC4,891,1451,1900,1522,1419,2391,1620,3831,3153,3316,3230,3597
ARRB2,1680,2632,1001,2559,1654,1290,1369,8903,7731,6357,4556,19812
ARSB,294,232,262,342,223,388,176,812,998,933,482,972
ASAH1,1267,2207,2540,3703,3656,3458,1587,15550,20694,5418,3945,20048
ASB2,28,8,6,1,4,15,8,19,18,121,123,91
ASGR1,17,10,19,6,0,11,18,332,149,288,231,659
ASPHD2,14,51,26,35,38,23,24,93,60,154,137,240
ATAT1,130,139,99,50,100,81,164,40,32,72,51,79
ATG3,1020,1218,1216,1245,1181,1160,946,5023,3406,3216,3645,4197
ATIC,2444,1624,2808,2236,1923,2617,1829,1251,1197,1500,1209,668
ATP1B1,1528,1698,2108,1110,1313,1404,584,189,319,23,23,1091
ATP2A3,5339,8959,3306,4871,4008,6198,7940,1283,2425,2821,3383,884
ATP2C1,2086,2336,5035,3241,3423,3321,2303,1733,2839,1049,802,955
ATP6V0D1,795,1385,631,899,765,1935,1194,4829,4156,5291,4167,7180
ATP6V1A,649,863,910,1112,972,1676,450,3321,3532,2148,1558,1196
ATP8A1,666,742,1133,1284,1041,984,965,149,628,242,231,351
ATP8B2,870,905,758,1285,874,645,1508,59,172,133,297,83
ATXN1,1,17,258,305,13,4,68,617,851,998,889,1207
ATXN7L3,1207,1523,1034,1112,1097,1197,1471,1424,1290,2031,1850,1767
B3GALNT1,301,366,821,513,594,529,310,205,190,100,151,14
B3GALNT2,58,103,114,74,91,55,57,91,193,135,172,163
B4GALT1,892,1319,640,1348,878,844,562,5319,3645,2525,1673,4742
BAG3,75,25,207,1,11,11,48,231,130,369,520,851
BBS9,218,448,357,389,553,322,381,202,208,187,191,149
BCKDHB,270,394,571,592,628,439,275,119,136,98,155,103
BCL2,913,658,473,773,878,978,803,67,229,225,195,307
BCL2L13,1292,1423,1373,1463,1301,2162,1838,2158,2105,1789,2704,2135
BECN1,793,791,1166,1278,1055,1278,1009,2131,1927,1252,1303,1945
BEND5,144,174,119,125,197,123,233,3,21,56,57,30
BEX4,986,706,1185,1300,1103,600,360,761,336,291,321,2
BIN1,946,1380,812,1149,1226,560,1781,45,80,35,33,594
BLCAP,690,702,684,790,749,1024,718,1330,1282,820,882,1167
BLOC1S1,117,181,87,66,70,91,111,327,282,514,529,476
BLOC1S3,140,204,50,106,93,102,145,227,271,335,349,757
BLZF1,409,299,703,629,577,463,457,309,347,230,276,301
BTBD8,151,139,103,78,133,43,192,29,90,58,80,1
C11orf24,133,136,68,138,59,192,231,354,173,487,409,467
C11orf45,185,156,58,181,170,108,84,10,32,58,67,52
C11orf95,296,534,419,546,462,143,412,62,66,118,157,86
C12orf45,315,267,400,274,423,292,207,183,199,200,152,230
C12orf57,977,1339,821,1024,952,413,847,482,386,712,377,700
C12orf65,382,130,196,187,216,171,344,90,86,67,146,53
C15orf41,71,92,169,67,110,79,76,50,14,39,57,17
C1orf162,456,440,318,345,476,576,148,11708,3996,4470,3074,15092
C20orf96,209,239,165,119,288,128,186,37,44,70,90,87
C22orf29,550,390,244,276,240,237,357,98,105,160,183,206
C6orf47,347,410,213,241,271,390,495,612,553,624,571,561
C6orf89,744,879,675,729,836,1181,729,1894,1186,1242,1347,983
C7orf43,289,226,162,181,133,188,452,266,279,352,558,453
C9orf66,41,30,23,31,56,79,29,72,56,134,104,51
CA5B,201,430,155,224,393,196,208,1051,856,1000,586,270
CACNA2D3,0,2,0,0,1,0,0,309,72,223,130,98
CALM1,3894,5289,4838,4178,5079,5557,3623,10479,10760,7597,6695,8247
CALM3,2318,2940,3535,4375,2508,2270,2170,5167,5133,6649,8407,6292
CAMK1,2,12,142,8,49,32,2,1929,564,1807,1498,3326
CAP1,6050,10095,7780,12228,8975,16612,10115,26886,20305,17008,14505,23971
CAPN2,1008,1193,1048,2552,857,562,820,8683,5341,8758,7213,7415
CARD6,289,235,351,305,235,543,385,937,775,411,588,344
CASP1,1138,439,552,440,442,1983,1134,5993,3306,3215,2160,7858
CASS4,894,1034,1003,1052,1027,428,192,508,220,117,131,232
CAST,1391,2047,1135,1344,1602,374,299,8973,7349,8592,8521,3230
CATSPER1,32,30,51,129,34,12,6,344,335,409,306,168
CBWD1,161,102,141,237,115,220,173,473,289,236,368,211
CC2D2A,4,2,10,0,3,5,1,91,146,135,18,78
CCDC102B,31,60,96,37,79,63,73,42,15,9,15,29
CCDC14,378,302,490,427,319,140,210,165,226,222,223,153
CCDC22,546,851,422,380,600,801,745,791,675,954,1151,1016
CCND3,2403,3080,3007,3134,2916,5797,4648,8012,6371,9100,6767,4043
CCNYL1,218,278,549,482,489,667,415,505,778,877,695,607
CCP110,653,445,487,595,659,440,359,336,589,418,369,369
CCR1,7,11,6,51,32,26,18,5232,5390,4268,1626,5687
CD2BP2,705,861,581,812,705,815,807,923,800,919,1174,926
CD300A,1122,1675,1053,629,1279,2652,2600,3203,3113,2599,1442,4859
CD300C,59,50,50,126,35,233,89,1839,2562,2022,1637,2271
CD300LB,89,97,23,32,67,144,61,3060,912,3475,2356,5906
CD300LF,563,942,697,82,809,823,700,2727,3231,1434,1117,3770
CD34,2205,20126,10935,17072,14720,19080,26767,38,11,57,19,1382
CD4,83,299,831,395,205,145,27,8273,2933,9262,5867,15132
CD53,1813,7869,3487,5619,7323,13368,6923,21707,18103,9211,7348,19914
CD55,1325,978,1709,1802,980,1645,1269,5447,3110,2182,1844,4516
CD6,52,274,174,112,181,9,34,2,14,6,9,11
CD63,3248,5316,6236,5834,4386,6433,5318,15675,12068,11696,9531,7262
CD86,169,1163,22,91,1233,369,97,6964,7143,2355,2105,6981
CD93,43,464,490,790,435,688,379,2065,562,4961,4566,3438
CDA,4,3,3,6,4,9,3,495,598,1902,1846,1155
CDC42EP4,36,97,90,181,29,7,25,277,212,422,329,702
CDCA7L,1622,1409,1429,1654,1739,1335,1271,165,452,737,248,269
CDK6,3893,3666,7179,6427,7066,6659,5571,1522,2795,2497,1210,1927
CDKN2A,7,23,3,4,20,2,1,274,107,131,124,22
CDKN2AIP,1923,1364,1682,1019,1312,386,725,750,716,623,782,1550
CDKN2C,276,110,80,389,91,1680,1412,312,592,273,379,538
CDKN2D,114,232,123,313,171,173,197,1206,876,727,516,1052
CDV3,3631,4766,3525,2648,4038,2623,3151,5220,4566,4902,4257,6136
CEBPD,33,341,32,690,303,20,8,2631,1924,2260,2768,2655
CEBPG,717,571,582,579,499,337,438,1376,1421,1035,1190,999
CECR1,399,2544,925,1047,1664,263,78,14384,8332,6920,11197,33827
CECR5,236,487,440,616,442,129,104,763,618,1019,1292,554
CEP57,1055,1017,1643,1671,1969,1011,950,851,1237,634,588,911
CFAP36,641,592,868,712,772,530,492,226,429,311,213,101
CFD,1273,1023,42,4202,351,1478,745,9217,10409,12481,8410,10303
CFP,987,2781,738,2468,1229,2732,1430,7876,6179,9668,5793,17700
CHD1L,1940,2052,1952,1305,2036,1686,1488,562,966,763,885,695
CHMP2A,843,1232,739,763,812,1367,1089,1991,2066,2378,2123,2510
CHMP4B,1038,1615,862,690,1048,1163,1203,2237,1849,4318,4040,5442
CHP1,823,2252,978,2113,2458,2364,1418,7386,7146,4005,3056,4305
CHRNB1,114,176,164,192,215,209,218,393,277,376,383,224
CISD3,225,271,194,181,202,225,192,338,289,500,384,570
CLCN5,38,60,26,18,41,47,22,312,197,173,185,189
CLIC1,6781,13380,7837,8085,10515,11551,10384,20380,18206,20316,17186,16105
CLIP1,271,457,153,115,183,205,419,500,520,1039,821,1377
CMIP,641,1019,538,384,497,465,789,1210,1245,1624,1162,2799
CMSS1,616,351,870,528,476,593,404,103,170,174,198,216
CNDP2,1441,1954,1419,2343,1466,4159,3224,2708,1576,2908,3384,3372
CNKSR3,89,23,113,81,34,46,32,0,6,9,13,5
CNN2,368,5612,1904,3615,3041,2087,1977,4596,4465,5327,5713,6772
CNOT10,788,722,1257,853,965,844,933,495,659,532,434,726
CNPPD1,1541,2010,1507,1580,1664,1350,1965,2533,2194,2441,2031,2591
CNPY3,2237,3473,1261,1631,2173,3330,3459,3635,6094,7711,5122,10590
COL8A2,1,5,1,0,6,9,15,67,6,112,194,249
CORO1A,7706,13705,4952,6525,8257,13967,13443,11287,10005,16142,12447,18722
COX14,309,332,439,448,347,696,319,614,515,500,424,495
COX17,266,220,330,399,253,484,265,654,555,497,439,460
COX5B,1675,1689,1093,987,902,1715,1556,2028,1632,3197,2684,3215
CPXM1,3840,2446,2001,1772,1211,3207,3453,53,395,356,648,318
CRELD2,187,139,114,67,117,265,272,413,294,407,410,323
CRISPLD1,171,199,310,261,277,511,230,8,50,4,75,17
CRYL1,325,324,381,392,279,522,394,1091,662,722,484,928
CSGALNACT2,751,1242,1323,1168,1786,837,630,4787,3954,1764,1277,3733
CSRP1,1354,1335,1409,1702,1083,1232,1183,2893,2426,3547,2730,1739
CSTF2T,916,520,684,896,514,661,544,388,546,451,515,312
CTPS2,513,307,589,625,412,497,491,277,172,387,235,277
CTSB,2663,4824,2199,3757,2989,3246,2323,38857,22623,20303,19296,25966
CTSH,25,316,426,5,183,46,6,8006,6899,7605,4590,6559
CTSZ,2247,3060,1121,782,1340,2024,2190,10523,7380,12358,9868,22550
CX3CR1,62,64,8,38,117,5,11,4845,3017,2385,1550,2922
CXCR4,1388,3371,566,6685,9351,5698,360,12194,12964,8847,11222,17605
CXorf21,442,547,411,867,796,352,739,2011,5234,1333,2141,2473
CXorf23,113,120,128,90,152,108,169,191,214,111,157,219
CXXC5,1062,1116,2328,1238,1358,1015,1498,348,619,181,309,1111
CYB561,928,1085,1233,1402,1041,696,976,373,354,251,86,239
CYB561A3,560,1048,597,997,848,1848,1057,1479,1243,1334,1517,1292
CYB5A,231,121,104,169,115,276,292,215,292,227,266,303
CYBA,4221,5728,2141,3164,2406,8118,7017,8767,8132,11889,11990,13095
CYBB,7,608,19,332,542,482,15,35881,24448,12691,8940,31115
CYP1B1,0,0,3,1,1,11,0,1487,1059,568,1202,3
CYTL1,1324,496,2490,1673,789,1178,229,18,503,24,6,61
DAG1,204,268,151,80,103,145,196,495,362,382,423,329
DAPP1,439,430,511,434,614,794,611,2651,2408,1174,1072,1697
DARS,2280,2161,4006,4539,4152,3424,2020,2499,2206,1371,1203,1254
DCAF12,794,413,704,905,525,525,462,2619,1448,1046,1393,1661
DCTN3,621,1102,552,586,843,847,702,1013,897,1181,1288,1135
DDA1,391,543,364,327,392,412,603,425,448,668,674,570
DDX1,2219,1435,2312,1819,1747,1886,1840,1328,1676,1444,1274,867
DDX10,644,338,448,493,386,484,571,236,211,244,330,464
DDX31,345,182,224,234,198,278,560,93,57,115,173,164
DDX50,1034,945,1632,1374,1361,1190,1120,974,1028,659,656,796
DECR1,902,592,1355,989,691,871,627,1926,1579,1522,1468,1242
DEDD,612,771,665,635,708,688,823,1121,1058,902,730,1391
DEF8,107,335,163,95,191,98,146,433,197,324,551,745
DEPTOR,568,499,1760,853,695,784,402,223,193,95,85,170
DESI1,396,491,299,269,319,365,482,622,604,1106,748,1047
DET1,167,231,177,187,229,138,138,90,38,70,128,110
DGAT2,8,24,81,5,11,20,8,376,125,304,408,38
DGCR2,871,889,593,810,469,1075,908,982,952,1207,1374,747
DHODH,286,179,176,164,190,269,230,87,54,129,163,93
DHRS11,160,277,222,133,236,82,155,26,45,41,17,90
DHRS9,1,99,18,55,62,73,33,912,720,113,1605,630
DHX33,546,241,472,388,313,410,432,175,125,266,341,263
DIS3L,1099,840,1087,953,903,572,689,586,723,794,566,630
DLC1,378,250,272,502,138,390,329,42,83,7,43,93
DLEU7,10,1,21,2,6,2,1,24,68,96,50,36
DNAH14,93,44,137,19,69,39,64,14,17,19,12,0
DNAJC13,649,1136,740,963,1143,1195,1028,2017,1688,1267,1007,1224
DNAJC18,207,260,426,86,407,337,387,50,112,62,68,49
DNAJC27,255,186,171,223,246,68,94,46,92,54,101,185
DNAL1,125,161,224,170,249,132,155,53,121,80,68,71
DNMT3B,891,819,1713,50,878,950,1374,29,163,147,109,183
DOCK2,3522,5576,1995,2470,3521,4299,4037,6120,5302,7479,6049,11617
DOCK8,3393,5339,1615,1879,3756,5591,5570,5454,5106,6725,5206,5278
DOK2,751,814,400,387,389,610,509,4183,2080,1999,1190,5163
DPH2,751,571,546,561,456,845,795,192,232,298,381,208
DPYSL2,90,135,190,164,110,806,967,2397,1539,1326,959,3328
DRAM1,911,397,586,702,552,538,279,2128,1395,1975,848,993
DTX2,173,150,41,85,46,96,232,131,119,303,391,340
DTX4,2,80,23,8,45,1,34,272,514,273,232,28
DYNC2LI1,211,201,305,306,319,268,178,103,155,83,98,70
DYNLT1,183,219,590,528,190,402,321,1653,992,1014,656,1066
E2F4,917,969,659,740,647,918,933,1174,939,1318,1420,1052
E2F6,186,161,262,211,208,121,132,120,164,131,128,130
ECE1,56,174,168,17,91,32,159,884,206,846,685,523
EDC3,841,826,904,662,656,794,1000,362,318,558,604,380
EEF1A1,223159,403327,306948,248381,393452,270198,226571,169247,205590,134575,132100,235848
EGR3,416,380,1020,1219,840,16,125,516,188,74,50,137
EHBP1,533,564,489,357,503,386,695,162,133,249,219,162
EHD4,142,90,271,227,65,209,254,2329,901,1744,1300,2354
ELK3,798,1335,1115,638,1393,920,1184,2464,2117,1288,1176,1910
ELMO1,3749,4269,2168,2390,2699,2440,4023,1325,1439,2170,1592,2401
ELOF1,594,570,336,319,361,431,526,590,538,715,699,872
ELOVL1,1250,971,990,1505,872,1664,1443,2679,2628,1865,1483,1979
ELP2,1332,1373,1825,1393,2100,1352,1315,767,1258,668,656,538
EMILIN2,544,860,272,1603,468,1603,1403,7802,7975,7698,7584,7882
ENTPD1,1,16,55,59,51,47,2,2273,4676,2123,1521,3366
EPB41,1731,2469,4140,1996,2499,1592,1575,1045,1356,1187,1297,1074
EPDR1,730,714,1158,1676,941,2025,945,348,600,137,118,59
EPHB3,20,23,0,10,1,0,16,67,118,121,302,88
ERG,1907,2091,1537,1369,1545,939,2017,10,157,169,52,78
ERN1,151,203,263,149,162,87,185,375,306,481,778,809
ERP44,1288,1548,1838,2277,1713,2377,2030,3789,3719,2915,2030,4544
ESRRA,291,393,242,392,247,619,394,657,464,490,827,528
EVI2B,964,1603,1220,1728,2591,1622,737,14473,18543,5481,5391,17695
EVI5,20,46,58,50,48,22,20,477,372,214,178,322
EZR,1328,4156,940,1922,2058,2137,2017,4680,2619,4970,4952,3442
F3,7,2,8,0,3,6,3,18,42,60,53,20
FAM102A,169,297,209,131,202,92,244,58,93,140,156,108
FAM105A,9,20,4,157,15,7,13,1088,121,572,508,926
FAM107B,116,596,340,224,756,169,455,5569,4556,3254,6980,1635
FAM114A1,9,14,8,27,3,4,15,95,23,37,55,52
FAM117A,1656,2354,1574,2427,2128,799,2089,569,1768,836,867,260
FAM120B,425,232,363,385,372,400,548,393,428,453,535,535
FAM124B,365,541,446,391,713,413,390,88,172,108,31,217
FAM161A,72,46,56,70,73,68,47,13,9,33,19,4
FAM19A2,57,59,140,60,117,146,61,69,44,19,28,30
FAM229B,38,78,155,45,97,102,96,5,6,15,27,12
FAM49A,44,355,122,347,329,204,89,2179,1798,681,822,2543
FAM49B,1265,1834,4150,2644,3112,3198,1702,8148,7770,3967,2456,6143
FAM58A,178,225,132,220,169,205,211,330,280,294,286,330
FAM60A,1739,1631,4197,2563,2583,2215,1268,1154,1406,455,419,1102
FAM76A,103,121,87,176,93,110,147,199,219,163,164,289
FANK1,6,28,26,18,15,20,20,0,8,1,2,1
FARSB,1152,690,1203,1140,848,1309,987,533,457,542,578,451
FAS,255,121,299,448,256,992,200,758,972,579,715,707
FBL,3907,4944,4040,3931,4779,4149,3221,1677,1716,2500,2280,2203
FBXW5,942,1282,640,682,538,1267,1893,1455,1025,2521,2920,2270
FCGR1A,35,331,3,105,288,25,9,1370,653,525,523,1225
FCGR1B,20,20,0,4,13,2,4,276,294,106,94,515
FCGR2A,9,20,101,137,27,38,22,8071,5903,1778,1440,2684
FERMT3,3242,5773,3184,3874,3291,6529,6771,6567,5053,7015,7188,7331
FFAR2,1,0,4,0,0,1,2,168,261,143,54,270
FGR,328,521,294,223,400,626,597,14449,11586,13044,10532,16417
FIBP,909,1513,924,816,1084,1543,1464,1482,1096,1665,2013,1386
FIG4,272,559,535,413,593,683,675,1761,1368,985,840,845
FIRRE,208,57,169,26,105,43,116,6,23,4,13,28
FKBP7,138,93,226,248,187,151,109,82,57,47,50,42
FLI1,2794,3100,2094,3177,2917,2342,2537,3510,3721,3353,3850,4854
FNIP2,244,230,176,203,230,139,96,846,838,416,338,786
FOXO1,33,89,164,464,59,26,196,461,491,224,274,622
FRMD3,9,4,27,4,6,10,10,349,164,514,418,235
FRMD4B,786,772,572,357,701,338,574,378,322,136,144,479
FUCA1,67,222,63,177,194,274,55,1850,1017,1395,1142,385
FUT8,275,240,400,482,236,164,155,168,130,220,201,88
FYN,111,306,368,124,254,386,474,1927,782,773,1031,1941
FZD1,148,146,26,36,62,16,17,463,196,175,233,279
FZD2,0,8,12,8,3,6,13,58,29,121,168,80
G6PD,1341,3135,1969,776,1558,4235,3517,3650,2666,4113,3427,3942
GABARAP,138,258,240,251,338,203,164,748,764,427,425,784
GABPB1,548,475,668,761,654,375,327,248,357,262,320,352
GABPB1-AS1,156,139,153,179,169,156,204,50,87,83,135,92
GALNS,282,487,172,231,226,236,388,344,933,1256,534,712
GALNT3,25,54,1,99,29,71,65,272,411,340,320,269
GANC,258,285,183,335,347,335,326,601,678,473,549,528
GAS5,9221,11163,13680,10709,15901,7469,6869,2749,4138,2133,2004,3653
GAS6,5,42,35,1,62,159,326,107,152,61,163,136
GAS7,812,2983,263,832,1690,2548,1863,4612,5130,4358,3920,5984
GATA2,3477,933,2884,846,1010,1346,2691,22,329,155,162,83
GBA,613,746,385,446,508,797,602,1099,1184,1926,1745,1533
GCNT2,36,2,90,27,3,4,31,119,185,226,323,266
GCSAML,1251,1188,5158,2409,2685,1799,1392,34,594,41,19,44
GDAP2,186,231,268,269,264,326,216,607,482,342,329,576
GEMIN5,592,330,427,547,392,669,537,202,324,234,339,204
GEMIN7,244,208,259,318,246,438,415,368,538,465,372,260
GGA2,1223,1216,706,1364,1147,1046,852,2586,2432,2286,3199,2520
GGNBP2,1068,1147,925,861,1202,1125,1252,1317,1631,1242,1214,1989
GIMAP1,51,58,112,57,100,113,287,1070,451,262,414,814
GLIPR2,753,1790,1941,2364,1518,3162,2242,7711,5705,4526,3280,5518
GLRX,446,358,504,483,555,1206,519,2395,2569,2060,1693,2560
GM2A,636,1315,659,959,1205,1659,1173,5748,3255,4039,3513,2915
GMFG,2308,4100,3553,4545,4525,3834,2908,7355,8300,6067,6533,7296
